A*,Flood Fill,RA(0.5),RA(1),UFSPS,MHIP,PSO,DFS
"[189.0, 108.49, 276.46596350684825]","[189.0, 108.49, 276.46596350684825]","[189.0, 108.49, 276.46596350684825]","[189.0, 108.49, 276.46596350684825]","[189.0, 108.49, 276.46596350684825]","[189.0, 108.49, 276.46596350684825]","[190.0, 109.49, 277.8801770692213]","[189.0, 108.49, 276.46596350684825]"
"[114.7, 60.94, 165.1225355146453]","[114.7, 60.6, 164.77515960568363]","[114.98, 55.54, 164.64443665686716]","[115.52, 54.72, 165.2656393998868]","[116.64, 54.42, 165.81941572570915]","[116.48, 54.74, 166.40250231363254]","[115.7, 61.76, 166.6239063641223]","[468.3, 269.22, 680.0564228301986]"
"[102.94, 50.61, 146.6329063342081]","[102.94, 50.02, 145.81724616011016]","[103.18, 40.57, 142.14180529667377]","[104.16, 39.1, 141.88166243263834]","[105.72, 38.49, 142.13313429647894]","[104.84, 38.84, 142.38796185747336]","[103.94, 51.67, 148.29368843865458]","[561.94, 309.95, 805.842786580323]"
"[99.04, 44.99, 137.04196476690552]","[99.04, 45.69, 137.848188432443]","[99.34, 29.29, 128.37168837924764]","[99.76, 28.74, 128.01345461075653]","[100.72, 28.4, 126.26779443202244]","[100.3, 28.39, 128.1580635551615]","[100.04, 45.96, 138.4547569715661]","[669.26, 350.43, 943.2866358120265]"
"[98.1, 40.94, 131.79834858894958]","[98.1, 41.5, 132.41146041634457]","[98.18, 21.81, 116.85357289820368]","[98.38, 21.56, 116.3861717415516]","[99.2, 21.79, 114.73416164218044]","[98.58, 21.4, 116.03933407950018]","[99.1, 41.94, 133.20342001548823]","[719.72, 350.96, 985.6465938888085]"
"[98.02, 36.81, 125.0927728046851]","[98.02, 37.37, 125.09848347247771]","[98.04, 16.09, 104.16155483434108]","[98.14, 15.99, 103.95356493455517]","[98.5, 17.01, 103.84716451263692]","[98.14, 16.03, 103.84841774977271]","[99.02, 37.81, 126.50698636705818]","[768.72, 340.11, 1013.085577183999]"
"[98.0, 30.81, 114.37911475724826]","[98.0, 32.11, 115.43528791981862]","[98.0, 11.44, 90.61308585402247]","[98.04, 11.38, 90.40994876861114]","[98.16, 13.15, 93.97006638305962]","[98.0, 11.7, 91.94450720836318]","[99.0, 31.81, 115.79332831962128]","[798.7, 306.16, 988.6917530615335]"
"[98.0, 24.31, 102.63200001683859]","[98.0, 23.6, 101.18207576960333]","[98.0, 7.39, 77.10628209843559]","[98.0, 7.39, 77.10628209843559]","[98.02, 9.54, 82.91838455571407]","[98.0, 8.37, 80.96735857560812]","[99.0, 25.31, 104.04621357921171]","[829.12, 262.89, 947.3923870903487]"
"[98.0, 17.28, 89.20919985379778]","[98.0, 17.16, 88.46662626467294]","[98.0, 4.74, 67.79648412062987]","[98.0, 4.74, 67.79648412062987]","[98.0, 6.18, 71.47008368922855]","[98.04, 6.57, 74.53777921249527]","[99.0, 18.28, 90.62341341617086]","[867.52, 206.95, 879.0018948912599]"
"[98.0, 8.43, 70.51564284980583]","[98.0, 9.6, 73.4084098034044]","[98.0, 2.57, 59.85322943257114]","[98.0, 2.57, 59.85322943257114]","[98.0, 3.22, 61.80288455540296]","[98.24, 4.32, 65.68508801714056]","[99.0, 9.43, 71.92985641217894]","[927.16, 134.81, 778.9849612111688]"
