A*,Flood Fill,RA(0.5),RA(1),UFSPS,MHIP,PSO,DFS
337.58036040194946,337.58036040194946,337.58036040194946,337.58036040194946,337.58036040194946,337.58036040194946,338.9945739643226,337.58036040194946
197.0573118722788,197.15618488876743,196.22610118731623,196.68448646555157,197.89372960099809,197.44510046227623,198.58380465294746,934.9467773675756
175.24290563655367,175.545453985996,171.18940777596913,171.04669131564384,171.05475696397983,171.84585870422623,176.63395686097826,1198.0222710774071
165.23689263048982,165.8168673817458,154.66745750311927,154.19959385527198,153.36645677281098,154.28162921034138,166.6199539566036,1333.9495099363317
159.2912663512661,158.46901237834288,139.29295024628718,138.1047164771638,137.00297549671694,137.6461630863598,160.71462204947366,1430.6094167728736
149.45103976133433,151.21010614398259,122.22451515304562,121.7251038970224,123.13385065904359,121.92738311890038,150.86525332370746,1420.9057441188486
138.08000581167923,139.95647334992577,106.55898988966057,106.37499494029446,109.80567604533958,108.14183260023857,139.4942193740523,1400.9122655528713
124.84811401872133,124.70181459599358,92.44674457930485,92.44674457930485,98.56852741469193,98.0060800743447,126.26232758109433,1332.3989903759489
107.04750071796524,104.67328715748876,80.39788022243341,80.39788022243341,86.38883044239894,89.03655121630624,108.46171428033834,1223.5397953505196
85.5303441462176,83.69441485172021,70.71178282379657,70.71178282379657,74.43538239113083,80.32214429135603,86.94455770859071,1084.5064381466777
