A*,Flood Fill,RA(0.5),RA(1),UFSPS,MHIP,PSO,DFS
132.64,132.64,132.64,132.64,132.64,132.64,133.64,132.64
71.87,71.64,65.83,64.72,63.94,64.2,73.07,367.23
60.42,60.18,47.98,46.71,46.32,46.41,61.68,461.55
54.15,54.37,35.54,34.34,34.27,33.85,55.25,497.98
50.39,50.24,25.99,25.46,25.94,25.33,51.39,510.77
44.27,45.03,18.33,18.16,19.32,18.24,45.27,477.08
37.58,38.7,12.93,12.86,14.76,13.25,38.58,433.64
29.78,30.08,8.76,8.76,11.26,10.12,30.78,369.23
20.84,19.76,5.31,5.31,7.53,7.74,21.84,286.47
10.46,9.72,2.82,2.82,4.1,5.48,11.46,183.7
